Caso,Origen,Destino,Algoritmo,Metros (m),Arcos (saltos),Nodos Expandidos,Max Frontera,Tiempo (ms)
1,276312567,677160819,BFS,12681.2,82,13996,354,44.06
1,276312567,677160819,DFS,219875.62,2189,6977,1911,19.79
1,276312567,677160819,UCS,11400.19,110,14714,243,151.83
2,276312567,312668315,BFS,9613.56,83,14101,354,38.62
2,276312567,312668315,DFS,211176.02,2107,4085,1548,16.17
2,276312567,312668315,UCS,9216.99,92,12971,243,106.15
3,276312567,268681974,BFS,5962.53,54,7550,345,14.21
3,276312567,268681974,DFS,83192.96,835,9815,1911,26.43
3,276312567,268681974,UCS,5507.13,60,6433,243,51.84
4,276312567,406161412,BFS,3189.1,31,2302,184,4.03
4,276312567,406161412,DFS,145862.15,1468,2047,948,5.41
4,276312567,406161412,UCS,2923.86,32,1715,138,24.25
5,276312567,31164455,BFS,2852.44,21,832,96,3.67
5,276312567,31164455,DFS,140476.7,1414,9511,1911,33.6
5,276312567,31164455,UCS,2639.61,25,1292,138,8.4
