Caso,Origen,Destino,Algoritmo,Metros (m),Arcos (saltos),Nodos Expandidos,Max Frontera,Tiempo (ms)
1,276312567,268861572,A*_h1_Euclidiana,8030.83,98,1190,205,7.33
1,276312567,268861572,A*_h2_Haversine,8030.83,98,1179,206,6.84
1,276312567,268861572,A*_h3_Personalizada,8030.83,98,1178,205,8.43
1,276312567,268861572,Greedy_h2_Haversine,9961.81,106,112,98,0.55
2,276312567,30788948,A*_h1_Euclidiana,2696.6,33,244,44,1.07
2,276312567,30788948,A*_h2_Haversine,2696.6,33,244,44,0.95
2,276312567,30788948,A*_h3_Personalizada,2696.6,33,244,44,1.42
2,276312567,30788948,Greedy_h2_Haversine,3455.46,42,48,38,0.19
3,276312567,5383880989,A*_h1_Euclidiana,2907.67,39,64,41,0.33
3,276312567,5383880989,A*_h2_Haversine,2907.67,39,62,41,0.26
3,276312567,5383880989,A*_h3_Personalizada,2907.67,39,62,41,0.38
3,276312567,5383880989,Greedy_h2_Haversine,4151.24,47,58,36,0.26
4,276312567,275713763,A*_h1_Euclidiana,3691.3,54,466,93,2.07
4,276312567,275713763,A*_h2_Haversine,3691.3,54,464,93,2.19
4,276312567,275713763,A*_h3_Personalizada,3691.3,54,464,93,2.75
4,276312567,275713763,Greedy_h2_Haversine,4477.48,57,58,48,0.22
5,276312567,275362700,A*_h1_Euclidiana,4226.01,45,191,72,0.82
5,276312567,275362700,A*_h2_Haversine,4226.01,45,184,71,0.75
5,276312567,275362700,A*_h3_Personalizada,4226.01,45,184,71,1.08
5,276312567,275362700,Greedy_h2_Haversine,4595.71,41,44,36,0.22
