Caso,Algoritmo,Metros,Arcos,Expandidos,Max Frontera,Tiempo (ms)
1,A*_h1_Euclidiana,8030.83,98,1190,205,7.33
1,A*_h2_Haversine,8030.83,98,1179,206,6.84
1,A*_h3_Personalizada,8030.83,98,1178,205,8.43
1,Greedy_h2_Haversine,9961.81,106,112,98,0.55
2,A*_h1 / h2 / h3,2696.60,33,244,44,~1.1
2,Greedy,3455.46,42,48,38,0.19
3,A* (cualquiera),2907.67,39,~62–64,41,~0.3
3,Greedy,4151.24,47,58,36,0.26
4,A*,3691.30,54,~464–466,93,~2.2
4,Greedy,4477.48,57,58,48,0.22
5,A*,4226.01,45,~184–191,~71,~0.8
5,Greedy,4595.71,41,44,36,0.22
